,dataset,basic_combinations,dynamic-both_no-combinations,fixed_no-combinations,dynamic-probsonly_no-combinations,fixed_combinations,basic_no-combinations,dynamic-probsonly_combinations,dynamic-both_combinations
0,cora,"(0.8950276243093923, 68)","(0.9023941068139963, 386)","(0.8839779005524862, 561)","(0.9042357274401474, 385)","(0.8895027624309392, 240)","(0.9060773480662984, 358)","(0.8987108655616943, 144)","(0.8987108655616943, 91)"
1,bzr,"(0.9135802469135802, 221)","(0.8765432098765432, 519)","(0.9012345679012346, 147)","(0.8888888888888888, 627)","(0.9135802469135802, 457)","(0.8888888888888888, 419)","(0.9259259259259259, 275)","(0.8888888888888888, 118)"
2,pubmed,"(0.8709432048681541, 549)","(0.8722109533468559, 150)","(0.8658722109533469, 142)","(0.8752535496957403, 108)","(0.8661257606490872, 482)","(0.869421906693712, 590)","(0.8666328600405679, 357)","(0.8709432048681541, 91)"
3,citeseer,"(0.7897897897897898, 209)","(0.7717717717717718, 183)","(0.7897897897897898, 292)","(0.7702702702702703, 223)","(0.7612612612612613, 424)","(0.7507507507507507, 415)","(0.7732732732732732, 107)","(0.7762762762762763, 219)"
4,mutag,"(0.9487179487179487, 102)","(0.9743589743589743, 1)","(0.9230769230769231, 502)","(0.9743589743589743, 526)","(0.9230769230769231, 579)","(0.8974358974358975, 73)","(0.9230769230769231, 258)","(0.9743589743589743, 24)"
5,cox2,"(0.8723404255319149, 437)","(0.9042553191489362, 242)","(0.8829787234042553, 231)","(0.9148936170212766, 130)","(0.9042553191489362, 400)","(0.8936170212765957, 66)","(0.851063829787234, 112)","(0.9361702127659575, 374)"
6,computers,"(0.905852417302799, 562)","(0.9134860050890585, 311)","(0.9036713922210106, 285)","(0.9003998545983278, 51)","(0.9000363504180298, 289)","(0.9127589967284624, 366)","(0.906215921483097, 354)","(0.8989458378771356, 61)"
7,photo,"(0.9562091503267974, 264)","(0.9483660130718954, 223)","(0.9516339869281045, 398)","(0.9516339869281045, 253)","(0.9431372549019608, 216)","(0.9470588235294117, 366)","(0.9509803921568627, 383)","(0.954248366013072, 33)"
