,dataset,basic_combinations,dynamic-both_no-combinations,fixed_no-combinations,dynamic-probsonly_no-combinations,fixed_combinations,basic_no-combinations,dynamic-probsonly_combinations,dynamic-both_combinations
0,cora,0.8950276243093923,0.9023941068139963,0.8839779005524862,0.9042357274401474,0.8895027624309392,0.9060773480662984,0.8987108655616943,0.8987108655616943
1,bzr,0.9135802469135802,0.8765432098765432,0.9012345679012346,0.8888888888888888,0.9135802469135802,0.8888888888888888,0.9259259259259259,0.8888888888888888
2,pubmed,0.8709432048681541,0.8722109533468559,0.8658722109533469,0.8752535496957403,0.8661257606490872,0.869421906693712,0.8666328600405679,0.8709432048681541
3,citeseer,0.7897897897897898,0.7717717717717718,0.7897897897897898,0.7702702702702703,0.7612612612612613,0.7507507507507507,0.7732732732732732,0.7762762762762763
4,mutag,0.9487179487179487,0.9743589743589743,0.9230769230769231,0.9743589743589743,0.9230769230769231,0.8974358974358975,0.9230769230769231,0.9743589743589743
5,cox2,0.8723404255319149,0.9042553191489362,0.8829787234042553,0.9148936170212766,0.9042553191489362,0.8936170212765957,0.851063829787234,0.9361702127659575
6,computers,0.905852417302799,0.9134860050890585,0.9036713922210106,0.9003998545983278,0.9000363504180298,0.9127589967284624,0.906215921483097,0.8989458378771356
7,photo,0.9562091503267974,0.9483660130718954,0.9516339869281045,0.9516339869281045,0.9431372549019608,0.9470588235294117,0.9509803921568627,0.954248366013072
