,dataset,threshold,method,count
130,photo,0.93,dynamic-probsonly combinations,95
131,photo,0.94,dynamic-probsonly combinations,34
132,photo,0.91,dynamic-both no-combinations,451
133,photo,0.92,dynamic-both no-combinations,354
134,photo,0.93,dynamic-both no-combinations,251
135,photo,0.94,dynamic-both no-combinations,77
136,photo,0.91,dynamic-both combinations,524
137,photo,0.92,dynamic-both combinations,480
138,photo,0.93,dynamic-both combinations,396
139,photo,0.94,dynamic-both combinations,117
140,photo,0.91,random,206
141,photo,0.92,random,128
142,photo,0.93,random,43
143,photo,0.94,random,11
144,computers,0.86,basic no-combinations,412
145,computers,0.87,basic no-combinations,372
146,computers,0.88,basic no-combinations,309
147,computers,0.89,basic no-combinations,206
148,computers,0.86,basic combinations,319
149,computers,0.87,basic combinations,226
150,computers,0.88,basic combinations,121
151,computers,0.89,basic combinations,37
152,computers,0.86,fixed no-combinations,334
153,computers,0.87,fixed no-combinations,265
154,computers,0.88,fixed no-combinations,148
155,computers,0.89,fixed no-combinations,56
156,computers,0.86,fixed combinations,309
157,computers,0.87,fixed combinations,230
158,computers,0.88,fixed combinations,128
159,computers,0.89,fixed combinations,37
160,computers,0.86,dynamic-probsonly no-combinations,176
161,computers,0.87,dynamic-probsonly no-combinations,120
162,computers,0.88,dynamic-probsonly no-combinations,65
163,computers,0.89,dynamic-probsonly no-combinations,27
164,computers,0.86,dynamic-probsonly combinations,151
165,computers,0.87,dynamic-probsonly combinations,108
166,computers,0.88,dynamic-probsonly combinations,66
167,computers,0.89,dynamic-probsonly combinations,20
168,computers,0.86,dynamic-both no-combinations,371
169,computers,0.87,dynamic-both no-combinations,314
170,computers,0.88,dynamic-both no-combinations,241
171,computers,0.89,dynamic-both no-combinations,148
172,computers,0.86,dynamic-both combinations,143
173,computers,0.87,dynamic-both combinations,84
174,computers,0.88,dynamic-both combinations,37
175,computers,0.89,dynamic-both combinations,7
176,computers,0.86,random,92
177,computers,0.87,random,71
178,computers,0.88,random,56
179,computers,0.89,random,27
180,mutag,0.86,basic no-combinations,6
181,mutag,0.89,basic no-combinations,1
182,mutag,0.92,basic no-combinations,0
183,mutag,0.95,basic no-combinations,0
184,mutag,0.86,basic combinations,373
185,mutag,0.89,basic combinations,187
186,mutag,0.92,basic combinations,32
187,mutag,0.95,basic combinations,0
188,mutag,0.86,fixed no-combinations,6
189,mutag,0.89,fixed no-combinations,2
190,mutag,0.92,fixed no-combinations,1
191,mutag,0.95,fixed no-combinations,0
192,mutag,0.86,fixed combinations,49
