INFO:__main__:dataset:
- single-graph
- Planetoid
- Cora
derive_num: 30
logfname: cora_fixed.log
nas_args:
  dynamic_nas_steps: 100
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  prob_scale: 4
  type: fixed_prob
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 5
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 160], 0.8784530386740331)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 200], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sage', 120], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gmm', 140], 0.7771639042357275)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gmm', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 160], 0.8766114180478821)
INFO:nas.trainer:train | 2 era_time 93.86876916885376
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 220], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'sg', 200], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 100], 0.8784530386740331)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 160], 0.8839779005524862)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 200], 0.8839779005524862)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 180], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'ssg', 200], 0.858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 120], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 120], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 200], 0.7458563535911602)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 180], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gat', 140], 0.8655616942909761)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 180], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gcn', 160], 0.860036832412523)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gcn', 140], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 'gmm', 180], 0.8434622467771639)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 100], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['tag', 'gcn', 180], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 220], 0.8747697974217311)
INFO:nas.trainer:train | 3 era_time 111.65536713600159
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'ssg', 200], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 'gcn', 120], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 160], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 200], 0.8876611418047882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gat', 160], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 100], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'ssg', 200], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sage', 100], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gmm', 160], 0.856353591160221)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 100], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 180], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'tag', 200], 0.8305709023941068)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 100], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 100], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 200], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 180], 0.8839779005524862)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 100], 0.8637200736648251)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gmm', 220], 0.8453038674033149)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 'gat', 220], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'sg', 220], 0.8802946593001841)
INFO:nas.trainer:train | 4 era_time 83.97843623161316
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 100], 0.852670349907919)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gmm', 140], 0.8710865561694291)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 180], 0.8876611418047882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 'gcn', 100], 0.85451197053407)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 100], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 220], 0.8784530386740331)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'sg', 100], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 120], 0.8766114180478821)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'gat', 100], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 'gcn', 220], 0.8876611418047882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.861878453038674)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gcn', 120], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 'gmm', 200], 0.8674033149171271)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 'sg', 100], 0.7937384898710865)
