INFO:__main__:dataset:
- single-graph
- Planetoid
- Cora
derive_num: 30
logfname: cora_dynamic-probsonly_no-combinations.log
nas_args:
  dynamic_behaviour: probs_only
  dynamic_nas_steps: 150
  forward:
    mode: train
    softmax_temp: 5.0
    tanh_c: 2.5
  hidden_size: 100
  reset:
    init_range: 0.1
ss_args:
  debug: false
  prob_scale: 4
  type: dynamic_prob
  with_combinations: false
trainer_args:
  derive:
    derive_from_history: false
  eval:
    save_model_flag: false
  train:
    derive_finaly: false
    num_eras: 30
    save_eras: 30
  train_controller:
    epochs: 20

INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 160], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 160], 0.8692449355432781)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 220], 0.858195211786372)
INFO:nas.trainer:train | 3 era_time 123.2689220905304
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 160], 0.8802946593001841)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 120], 0.8416206261510129)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 220], 0.8729281767955801)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 200], 0.8950276243093923)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['ssg', 2, 180], 0.8876611418047882)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sg', 2, 180], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 200], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 200], 0.8895027624309392)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 120], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 180], 0.8858195211786372)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gcn', 2, 200], 0.8987108655616943)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gmm', 2, 200], 0.8747697974217311)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 160], 0.6261510128913443)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gin', 2, 140], 0.6850828729281768)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['sage', 2, 180], 0.8895027624309392)
INFO:nas.trainer:eval | (sampled_gnn, metric_val) = (['gat', 2, 180], 0.8784530386740331)
